 Incident number, Incident category, Incident sub-category, Year Month (YYMM), Date of IncidentD, Time of IncidentMT, Method Incident Notified, Callers Statement,Location,Complex ,Street,Suburb,Town ,Map Page,Grid ,Robot route used ,Cross roads,Statistics area,Station Area,Vehicles - Elapsed Times MT,FPA Classification,FPA Occupancy ,Weather ,Wind ,Temperature,What Was Burning ,Description of Incident,Actions Prior To Arrival,Actions of Brigade,Equipment used,FPA Suspected Cause ,Details of cause ,Water Used (Charged)MR,Water Used (Uncharged)MR,Source of water,Pumping Time Hh:mm MT,Fire Damage - Details,Smoke Damage - Details ,Water Damage - Details ,Forced Entry,Accident Vehicles - Make,Accident Vehicles - Details,Accident Vehicles - Owners,Person Involved - Sex,Person Involved - Age,Person Involved - Injury,Person Involved - Rescued ,Person Involved - Fatal,Person Involved - Comments,Total Fatal Adult\child,Remarks ,Account for,Material Usage Description,Material Usage Charge,District,Station/S Responded ,Fire Category ,No. Sectors Implemented,Zones Implemented,Holding Area/S,Number of linked exposures,Incident Management (Y/N) ,Enumerator area,Situation found,Type of action taken,Mutual Aid ,Ignition factor,Area of origin,Level of fire origin,Form of heat,Type material ignited,Form material ignited,Method extinguished ,Flame damage,Smoke damage,Detector performance,Sprinkler performance,Property use,Complex ,Number of stories,Construction type,Mobile Property type,Equip inv in ignition,Equipment year,Equipment make,Equipment model,Civilian or Fire Service,Time of Injury,Casualty type ,Severity,Affiliation,Familiarity with structure,Location at ignition,Condition before injury,Condition preventing escape,Activity at time injury,Cause of injury,Nature of injury ,Part of body injured,Disposition,Assignment ,Num responses prior injury,Physical condition,Status before Alarm ,Fireman Activity ,Where injury occurred,Cause of Injury,Medical care provided,Clothing/Equip Worn ,Clothing/Equip Status,Clothing/Equip problem ,Hazmat Actions,Area of Release,Level of Release ,Release Factors,Equipment involved in Release,Est num of chemicals/Hazmat,Disposition of incident,Ref Mat used to identify,Chem/Hazmat Trade Name ,UN Number,Physical state stored,Extent of Release,Physical State Released,Quantity Released,Released Unit of Measure,Suspected contamination,Container use ,Special container features,Container Type,Container material,Container capacity,Container Unit of measure ,Transport Type,NESD update control 
F1604/1012,Commercial,Other,1604,04/17/2016,11:04|11:06|11:06|11:06,11|Telephone direct|Telephone|T,Smoke Issuing,Opposite Scratch Patch,,DIDO VALLEY ROAD,DIDO VALLEY,SIMONSTOWN,191(14TH EDITION),DE;DF/22;23;24,,,,F=SMT,00:34|00:30|00:11,False Alarm - Good Intent,Commercial|Offices,Fine,Moderate,20 - 25 Deg,,False Alarm,,,,,FAGI Due To Smoke From Vagrants Fire Being Mistaken For Building Alight,,,,,,,,,,,,,,,,,,,1,,,,West,Simonstown|Fish Hoek|Lakeside,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1524228402
F1604/0108,Commercial,Garage/Workshop,1604,04/02/2016,20:02|20:03|20:03|20:03,11|Telephone direct|Telephone|T,Scrapyard Alight,No. 7,,Diza Road,PHILIPPI EAST,CAPE TOWN,124(14TH EDITION),CN/44,,,,F=GTU,01:02|01:00|01:07|00:56,Fire - manually extinguished,Commercial|Garages & Workshops,Overcast,Nil,10 - 15 Deg,"Rubbish, Scrap Metal And Scrap Vehicles",Rubbish Fire|Vehicle Fire,,Extinguished With One Jet From E53a Motor Pump,1 X 65mm And 1 X 45mm Lengths Of Hose,Open Flames,Braizer Fire Igniting Rubbish,7050,,MP|WT,12:25:00 AM,"Scrap Yard: Two Scrap Vehicles And Rubbish Severe By Fire, Heat, Smoke And Water.",,,Broke Padlock By Using Bolt Cutters,,,,,,,,,,,,1,,,East,Guguletu|Mitchells Plain,Category 2|Commercial (Low Risk),,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1523352593
F1604/1157,Commercial,Other,1604,04/19/2016,17:29|17:30|17:30|17:30,"13|Direct 107""|Direct ""107"" call|D""",Smoke Issuing From Inside Building,Virgin Active,,SANDOWN ROAD,PARKLANDS,BLAAUWBERG,25 (16TH ED),BM 33,,,WARD 107 ( SC 1 ),F=MIL,00:00|00:36|00:22|00:37,False Alarm - Good Intent,N/A,,,,,False Alarm,,,,N/A,False Alarm With Good Intent Due To Smoke From Smoke Expell System At Cash Crusaders Tested And Picked Up By Hvac System Of Virgin Active.,,,,,,,,,,,,,,,,,,,,,,,North,Melkbos,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1604/1182,Commercial,Restaurant/Cafe,1604,04/20/2016,02:52|02:53|02:53|02:53,11|Telephone direct|Telephone|T,Smoke Issuing From Roof,Seafood Lapa,,AVE . 6TH SIXTH AVENUE,MELKBOSSTRAND,BLAAUWBERG,2,BC 25,,Beach Road,,F=MKS,01:01|00:57|01:10,Fire - manually extinguished,Commercial|Restaurants & Cafes,Overcast,Nil,15 - 20 Deg,Pizza Oven Flue Vent Overheating.,Miscellaneous,Melkbos Police And Neighbourhood Watch On Scene.,Extinguished FIRE With One Fog Jet From Echo 45a M/Pump.(5min),,Smoking,Overheating.,600,,MP,12:05:00 AM,Flue Vent Of Chimney Pipe Overheating.,,,,,,,,,,,,,,1,,,,North,Melkbos|Milnerton,Category 2|Commercial (Low Risk),,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1528185279
F1604/1186,Commercial,Restaurant/Cafe,1604,04/20/2016,07:26|07:27|07:27|07:27,11|Telephone direct|Telephone|T,Smell Of Smoke,Round House Restaurant,,ROUND HOUSE ROAD,CAMPS BAY,CAPE TOWN,42,CD/18,,Kloof Road,WARD 54 ( SC 16 ),F=SPT,00:34|00:32|00:33,Fire - manually extinguished,Commercial|Restaurants & Cafes,Fine,Nil,20 - 25 Deg,Pot Of Food,Minor Structural Fire,,Removed Pot From Stove,Nil,Cooking,Pot Of Food Left On Stove,,,,,Pot Of Food Burned,,,,,,,,,,,,,,,,,,West|North,Sea Point|Roeland Street|Goodwood,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1524571634
F1604/1491,Commercial,Garage/Workshop,1604,04/25/2016,10:47|10:48|10:48|10:49,11|Telephone direct|Telephone|T,Garage Alight,Hire It,,Strand Street,BELLVILLE,TYGERBERG,BT/BU/BW/BX-44/45/46/47/48/49/50,18/19,,Baxter Street,,F=BVL,00:19|00:41|00:12|00:31,Fire - manually extinguished,Commercial|Garages & Workshops,Fine,Light Breeze,15 - 20 Deg,"Tools, Weed Eaters, Compactors, Office Equipment, Etc",Minor Structural Fire,Neighbours Attempted To Extinguish The Fire With Hosereel And DCP Extinguishers.,Extinguished With One Fog Jet From E47 Motor Pump,"1 X Hosereel, Thermal Image Camera, Ceiling Hook And SCBA",Electrical Faults,Suspected Short Circuit In Electrical Wiring Overheating And Igniting Insulation,1800,,MP,12:18:00 AM,"Structure: Roofing Sheets, Walls, Windows, Doors And Floor Slight By Heat, Smoke And Water Only|Mezzanine Floor: Wooden Floor Slight By Heat, Smoke And Water Only|Office And Reception Area: Contents: Office Equipment Consisisting Of Phones, Computer Equipment, Folders, Etc Severe By Heat, Smoke And Water Only|The Entire Contents Stored In The Structure Consisting Of Compactors, Weed Eaters, Various Tools, Etc, Severe By Fire, Heat, Smoke And Water",,,,,,,,,,,,,,,1,,,East,Belhar|Kuilsrivier|Goodwood,Category 2|Commercial (Low Risk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1524902488
F1604/0150,Commercial,Shop,1604,04/03/2016,06:22|06:23|06:23|06:23,"13|Direct 107""|Direct ""107"" call|D""",Smoke Issuing,Noble Park,,OLD PAARL ROAD,BELLVILLE,TYGERBERG,19,BX/50,,Du Toit,,F=BVL,00:31|00:17|00:42,Fire - automatically extinguished,Commercial|Shops,Clear,N/A,10 - 15 Deg,Contents Of Room,Minor Structural Fire,Security Ext Fire,Ensured Area Safe,Ppv,Electrical Faults,Light Fitting Caught Alight,,,,,"Light Fitting, Chair And Filling Cabinet",,,,,,,,,,,,,,,,,,North,Bellville|Brackenfell,Category 1|No Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1522917288
F1604/1540,Commercial,Offices,1604,04/26/2016,15:41|15:42|15:42|15:42,11|Telephone direct|Telephone|T,Rubbish Bins Alight,Department Of Community And Safety,,WALE STREET,CENTRAL,CAPE TOWN,34,CA/23,,,,F=RDS,00:12|00:28|00:19,Fire - manually extinguished,Commercial|Offices,Fine,Light Breeze,15 - 20 Deg,Rubbish,Rubbish Fire,Extinguished By Staff With Internal Hose Reel,Rendered Area Safe,Nil,Open Flames,Cigarette Butt,,,,,"A Small Quantity Of Rubbish And Wheely Bin Severe By Fire, Heat, Smoke And Water",,,,,,,,,,,,,,,,,,West|North,Roeland Street|Bellville,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1525695427
F1604/1599,Commercial,Garage/Workshop,1604,04/27/2016,19:48|19:52|19:52|19:52,11|Telephone direct|Telephone|T,Workshop Alight,,,ANDREWS STREET,KRAAIFONTEIN,OOSTENBERG,"BP,BQ,BR,BS,BT/56,57,58,59,60,61.62","11, 12",,,,F=KLR,00:56|00:57|00:57|01:06,False Alarm - Good Intent,N/A,,,,,False Alarm,,Investigated,Nil,,Fagi Due To Unable To Locate Any Building Alight In The Area,,,,,,,,,,,,,,,,,,,,,,,North,Brackenfell|Bellville|Kraaifontein,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1604/0160,Commercial,Restaurant/Cafe,1604,04/03/2016,10:04|10:05|10:05|10:05,11|Telephone direct|Telephone|T,Smoke Issuing From Roof,Piscardo's,,MAIN ROAD (M4),SIMONSTOWN,SOUTH PENINSULA,129,DF/24,,,,F=SMT,00:30|00:10|00:25,False Alarm - Good Intent,Commercial|Restaurants & Cafes,,,,,False Alarm,Nil.,Nil.,Nil.,N/A,False Alarm With Good Intent Due To Smoke From Pizza Oven Mistaken For Building Alight.,,,,,,,,,,,,,,,,,,,,,,,West,Simonstown|Fish Hoek|Lakeside,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
