 Incident number, Incident category, Incident sub-category, Year Month (YYMM), Date of IncidentD, Time of IncidentMT, Method Incident Notified, Callers Statement,Location,Complex ,Street,Suburb,Town ,Map Page,Grid ,Robot route used ,Cross roads,Statistics area,Station Area,Vehicles - Elapsed Times MT,FPA Classification,FPA Occupancy ,Weather ,Wind ,Temperature,What Was Burning ,Description of Incident,Actions Prior To Arrival,Actions of Brigade,Equipment used,FPA Suspected Cause ,Details of cause ,Water Used (Charged)MR,Water Used (Uncharged)MR,Source of water,Pumping Time Hh:mm MT,Fire Damage - Details,Smoke Damage - Details ,Water Damage - Details ,Forced Entry,Accident Vehicles - Make,Accident Vehicles - Details,Accident Vehicles - Owners,Person Involved - Sex,Person Involved - Age,Person Involved - Injury,Person Involved - Rescued ,Person Involved - Fatal,Person Involved - Comments,Total Fatal Adult\child,Remarks ,Account for,Material Usage Description,Material Usage Charge,District,Station/S Responded ,Fire Category ,No. Sectors Implemented,Zones Implemented,Holding Area/S,Number of linked exposures,Incident Management (Y/N) ,Enumerator area,Situation found,Type of action taken,Mutual Aid ,Ignition factor,Area of origin,Level of fire origin,Form of heat,Type material ignited,Form material ignited,Method extinguished ,Flame damage,Smoke damage,Detector performance,Sprinkler performance,Property use,Complex ,Number of stories,Construction type,Mobile Property type,Equip inv in ignition,Equipment year,Equipment make,Equipment model,Civilian or Fire Service,Time of Injury,Casualty type ,Severity,Affiliation,Familiarity with structure,Location at ignition,Condition before injury,Condition preventing escape,Activity at time injury,Cause of injury,Nature of injury ,Part of body injured,Disposition,Assignment ,Num responses prior injury,Physical condition,Status before Alarm ,Fireman Activity ,Where injury occurred,Cause of Injury,Medical care provided,Clothing/Equip Worn ,Clothing/Equip Status,Clothing/Equip problem ,Hazmat Actions,Area of Release,Level of Release ,Release Factors,Equipment involved in Release,Est num of chemicals/Hazmat,Disposition of incident,Ref Mat used to identify,Chem/Hazmat Trade Name ,UN Number,Physical state stored,Extent of Release,Physical State Released,Quantity Released,Released Unit of Measure,Suspected contamination,Container use ,Special container features,Container Type,Container material,Container capacity,Container Unit of measure ,Transport Type,NESD update control 
F1601/1333,Commercial,Department Stores,1601,01/12/2016,21:28|21:29|21:29|21:29,"13|Direct 107""|Direct ""107"" call|D""",Fire In The Shop,KHAYELITSHA SHOPPING MALL,,WALTER SISULU ROAD,KHAYELITSHA,CAPE TOWN,PAGE 92,CQ 53,,STEVE BIKO,,F=KYA,00:01|00:31|00:04|00:00|00:29|00:22|00:03,False Alarm - Good Intent,Residential|Informal,Fine,Light Breeze,10 - 15 Deg,False Alarm With Good Intent,False Alarm,,Nil,Nil,,False Alarm With Good Intent,,,,,,,,,,,,,,,,,,,1,,,,East,Mfuleni,Category 1|No Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1515922663
F1601/2425,Commercial,Department Stores,1601,01/23/2016,11:31|11:33|11:33|11:33,"13|Direct 107""|Direct ""107"" call|D""",Frier Alight In Dely,Checkers,,FIRGROVE WAY,BERGVLIET,SOUTH PENINSULA,86,CQ/27,,Howard Drive,,,00:20|01:10|01:53,Fire - manually extinguished,Commercial|Department Stores,Fine,Light Breeze,20 - 25 Deg,Oil In Fryer Ignited,Minor Structural Fire,Shopping Dentre Security And Members Of Public Extinguished Before Arrival Of Brigade.,Ensured Fire Was Out And Removed Fryer To Outside Of Building.,1 X Dcp Extinguisher.,Cooking,Oil In Fryer Overheating And Igniting.,,,,,"Oil Fryer, Roasting Oven And Display Fridges, Damaged By Fire, Stock Of Shop Damaged By Smoke And Dry Chemical Powder.",,,,,,,,,,,,,,1,,,,West,Mitchells Plain|Lakeside,Category 3|Commercial (Moderate Risk),,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1516867747
F1603/1249,Commercial,Department Stores,1603,03/15/2016,19:42|19:46|19:46|19:46,11|Telephone direct|Telephone|T,Smoke Issuing From Clicks,Edgemead Mall,,Louis Tylbault Avenue,EDGEMEAD,TYGERBERG,"BU/BV 36,37 & 38",24,,,,F=GWD,01:13|00:57|00:27,Fire - manually extinguished,Commercial|Department Stores,Fine,Light Breeze,15 - 20 Deg,Florescent Light,Miscellaneous,"Fire Out Prior Arrival Of Brigade, Burnt Itself Out",Inspect Premises And Cut Open Display Cabnet,1 X Carborandum Cutters (5min) And Multi Tool,Electrical Faults,Sparks From Short Circuit In Electrical Wiring Igniting Insulation,,,,,,,,,,,,,,,,,,,1,1,,,North,Goodwood|Epping|Milnerton,Category 2|Commercial (Low Risk),,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1521483519
F1601/1220,Commercial,Garage/Workshop,1601,01/11/2016,17:06|17:07|17:07|17:07,11|Telephone direct|Telephone|T,Workshop Alight,Solar Glass Fitment Centre,,BINDERS STREET,PAROW EAST,TYGERBERG,39,BY/46,,,,F=BVL,00:57|01:05|00:58,Fire - manually extinguished,Commercial|Garages & Workshops,Clear,Moderate,Over 30 Deg,1 X Motorvehicle Inside Warehouse,Minor Structural Fire,,Ext Fire Using 2 X Jets From E39 And E40,"4 X B/A Sets, 1 X Jets, 1 X Ppv",Electrical Faults,Electical Fault On Motor Vehicle,5405,,MP|SH,12:29:00 AM,"Motor Vehicle: Severe By Fire, Heat, Smoke And Water. Building: Only Heat And Smoke Damage",,,"Yes,",,,,,,,,,,,,,,,North,Bellville|Epping,Category 2|Commercial (Low Risk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1516017763
F1601/0182,Commercial,Garage/Workshop,1601,01/02/2016,10:20|10:22|10:22|10:22,11|Telephone direct|Telephone|T,Smoke Coming From An Electrical Box Inside The Building,"61,",,MAIN ROAD (M4),FISH HOEK,SOUTH PENINSULA,186(14TH EDITION),DA/25,,,,F=FSH,00:33|00:32|00:07,Fire - manually extinguished,Other|Miscellaneous Fires,Clear,Light Breeze,25 - 30 Deg,Electrical Wires And Insulation,Miscellaneous,Fire Extiguished Using Dry Powder Extinguisher,Made Area Safe,Bolt Cutter,Electrical Faults,Electrical Short Circuit Igniting Insulation,,,,,Fuse And Insulated Wiring Burnt,,,Padlock Cut,,,,,,,,,,,1,1,,,West,Fish Hoek|Lakeside,Category 2|Lamp Standards/Traffic Lights/Transformers/Sub Stations,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1514993622
F1603/1777,Commercial,Garage/Workshop,1603,03/22/2016,20:28|20:31|20:31|20:31,11|Telephone direct|Telephone|T,Factory Alight,,,CONSANI AVENUE,ELSIES RIVIER INDUSTRIA,ELSIES RIVER,38,BZ/41,,,,F=GWD,01:48|01:49|01:45|01:43|01:19|01:24|01:27|00:32,Fire - manually extinguished,Commercial|Garages & Workshops,Fine,Light Breeze,10 - 15 Deg,"Woodwork Machinery, Kitchen Appliances, Rafters, Etc, .",Minor Structural Fire,,Extinguished With Two Jets From E47 Motor Pump,"4 X 65mm, 4 X 45mm Hose, Carburandum Cutter And 4 X SCBAS""",Undetermined,"Unknown Pending Fire Safetys Investigation""",72240,,MP|WT|SH,01:00:00 AM,"Building: Subdivided Into Compartments-Unit 5: Roof, Walls, Doors And Floor Sever By Fire, Heat, Smoke And Water.|Contents: Content Consisting Of Workshop Machinery, Raw Materials, Officer Furniture, Personal Effects And Two Service Motor Vehicles Serve By Fire, Heat, Smoke And Water.",,,Front Garge Door Was Opened With A Carburandum Cutter,,,,,,,,,,,1,1,,,East,Epping|Belhar|Goodwood,Category 2|Commercial (Low Risk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1522317565
F1603/1892,Commercial,Garage/Workshop,1603,03/24/2016,15:50|15:52|15:52|15:52,11|Telephone direct|Telephone|T,Storage Building Alight,,,SILVERSTONE ROAD,KILLARNEY GARDENS,MILNERTON,42,BP/37,,Kilarney,WARD 4 ( SC 1 ),F=MIL,00:42|01:03|00:56|00:44,Fire - manually extinguished,Commercial|Garages & Workshops,Clear,Nil,20 - 25 Deg,Insulation Of Electricial Wiring,Vehicle Fire,,Extinguished With 1 Fog Jet From E37a M/P,1 X Hosereel 2 X Scba Sets ( 10 Min ),Electrical Faults,Sparks From Short Circuit In Electricial Wiring Overheating And Igniting Insulation,2400,,MP,12:20:00 AM,"Building - Section Of Building Slight By Smoke And Heat Only.|Contents - 1 X Hyster Severe By Fire, Heat, Smoke And Water.",,,,,,,,,,,,,,,1,,,North,Milnerton|Melkbos,Category 2|Commercial (Low Risk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1523175728
F1603/2336,Commercial,Garage/Workshop,1603,03/31/2016,08:01|08:03|08:03|08:03,11|Telephone direct|Telephone|T,Rubbish Fire,,,LANGVERWACHT ROAD,MIKRO PARK,OOSTENBERG,42,CC/56,,Silveroaks,,F=KLR,04:01|04:20|00:35|00:52|03:08|02:54|00:41|00:32|02:12|00:52|01:04,,Commercial|Garages & Workshops,Overcast,Light Breeze,15 - 20 Deg,"Vintage Motor Vehicles, Machinery, Tools, Spare Parts And Miscellaneous Goods",Minor Structural Fire,,Extinguished Fire With Three Jets,"4 X B.A Sets, 65mm Hoses, 45mm Hoses, Branches",,,,,,,"Building:walls, Roof Severe By Smoke, Heat And Fire.Contents:vintage Cars, Machinery, Tools, Spare Parts And Miscellaneous Goods Severe By Smoke, Heat And Fire",,,,,,,,,,,,,,,,,,East,Bellville|Belhar,Category 1|No Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1523223721
F1601/1756,Commercial,Offices,1601,01/16/2016,16:14|16:16|16:16|16:16,11|Telephone direct|Telephone|T,Police Station Alight,SAPS GRASSY PARK,,REDDY AVE,GRASSY PARK,SOUTH PENINSULA,87,CQ/32,,VICTORIA ROAD,,F=OTY,00:34|00:01|00:29|00:36,Fire - manually extinguished,Commercial|Offices,Clear,Moderate,15 - 20 Deg,A Pile Of Paper On A Desk,Minor Structural Fire,Policemen Tried To Extinguished Fire With 3 X Dcp And One Co2 Extinguishers,Extinguished Fire With An Internal Hosereel,Ppv,Smoking,Undetermined,,600,PH,12:05:00 AM,"Contents:a Pile Of Files Severe By Fire, Smoke, Heat And Water .",One Large Printer Damaged By Smoke And Dry Powder,,,,,,,,,,,,,1,,,,West,Ottery,Category 2|Commercial (Low Risk),,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1517560803
F1601/2065,Commercial,Offices,1601,01/19/2016,15:58|15:59|15:59|16:00,11|Telephone direct|Telephone|T,Offices Alight,Pathcare,,NEELS BOTHMA STREET,N1 CITY,TYGERBERG,25,BX/40,,,WARD 01 ( SC 3 ),F=GWD,00:49|00:13|00:28|00:24|00:09,Fire - manually extinguished,Commercial|Offices,Fine,Nil,25 - 30 Deg,Electrical Wires From Airconditioning Unit,Minor Structural Fire,Extinguished By Occupants,Made Area Safe Using One Fog Jet From E51 Motor Pump (300),"1 X Hose Reel, 1 X First Floor Ladder, Thermal Imaging Camera",Electrical Faults,Short Circuit Ignited Electrical Wires,300,,MP,12:20:00 AM,"Ceilings And Airconditioning Unit Severed By Fire, Heat And Water|Remainder : At Some Places Severed By Smoke",,,,,,,,,,,,,,1,1,,,North,Goodwood|Epping|Bellville,Category 2|Commercial (Low Risk),,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1516911455
