 Incident number, Incident category, Incident sub-category, Year Month (YYMM), Date of IncidentD, Time of IncidentMT, Method Incident Notified, Callers Statement,Location,Complex ,Street,Suburb,Town ,Map Page,Grid ,Robot route used ,Cross roads,Statistics area,Station Area,Vehicles - Elapsed Times MT,FPA Classification,FPA Occupancy ,Weather ,Wind ,Temperature,What Was Burning ,Description of Incident,Actions Prior To Arrival,Actions of Brigade,Equipment used,FPA Suspected Cause ,Details of cause ,Water Used (Charged)MR,Water Used (Uncharged)MR,Source of water,Pumping Time Hh:mm MT,Fire Damage - Details,Smoke Damage - Details ,Water Damage - Details ,Forced Entry,Accident Vehicles - Make,Accident Vehicles - Details,Accident Vehicles - Owners,Person Involved - Sex,Person Involved - Age,Person Involved - Injury,Person Involved - Rescued ,Person Involved - Fatal,Person Involved - Comments,Total Fatal Adult\child,Remarks ,Account for,Material Usage Description,Material Usage Charge,District,Station/S Responded ,Fire Category ,No. Sectors Implemented,Zones Implemented,Holding Area/S,Number of linked exposures,Incident Management (Y/N) ,Enumerator area,Situation found,Type of action taken,Mutual Aid ,Ignition factor,Area of origin,Level of fire origin,Form of heat,Type material ignited,Form material ignited,Method extinguished ,Flame damage,Smoke damage,Detector performance,Sprinkler performance,Property use,Complex ,Number of stories,Construction type,Mobile Property type,Equip inv in ignition,Equipment year,Equipment make,Equipment model,Civilian or Fire Service,Time of Injury,Casualty type ,Severity,Affiliation,Familiarity with structure,Location at ignition,Condition before injury,Condition preventing escape,Activity at time injury,Cause of injury,Nature of injury ,Part of body injured,Disposition,Assignment ,Num responses prior injury,Physical condition,Status before Alarm ,Fireman Activity ,Where injury occurred,Cause of Injury,Medical care provided,Clothing/Equip Worn ,Clothing/Equip Status,Clothing/Equip problem ,Hazmat Actions,Area of Release,Level of Release ,Release Factors,Equipment involved in Release,Est num of chemicals/Hazmat,Disposition of incident,Ref Mat used to identify,Chem/Hazmat Trade Name ,UN Number,Physical state stored,Extent of Release,Physical State Released,Quantity Released,Released Unit of Measure,Suspected contamination,Container use ,Special container features,Container Type,Container material,Container capacity,Container Unit of measure ,Transport Type,NESD update control 
F1607/0021,Commercial,Shop,1607,07/01/2016,16:42|16:42|16:42|16:42,11|Telephone direct|Telephone|T,Shop Alight,SABLE SQUARE,,RATANGA ROAD,MILNERTON,MILNERTON,57,BV/34,,BOSMANSDAM ROAD,SANDDRIFT,F=MIL,08:29|09:19|03:58|09:40|08:10|06:23|07:44|07:41|07:46|05:36|07:08|05:40|07:23|05:28|00:02|00:02|03:03|06:01|03:42|05:44|05:57|05:51|05:57|03:39|05:42|08:31|04:22|05:43|04:33|04:53|04:25|05:06|03:04|00:41,Fire - manually extinguished,Commercial|Department Stores,Clear,Light Breeze,20 - 25 Deg,"A Quantity Of Shopping Items, Etc.",Major Structural Fire,,Extinguished With One Jet From E37a M/P (8000l); One Foam Jet From E45a M/P (5 000l); Two Jets From E39 M/P (11000l); One Monitor From H02 Hydraulic Platform (7000l),"30 X 65mm Hose And 12 X 45mm Hose; 8 X Foam Drums; 20 X S.C.B.A Sets; 2 X Carborandum Cutters, 4 X Thermal Imaging Cameras; 4 X Sets Hose Ramps, 4 X Branches",Undetermined,To Be Determined,31000,,MP|SH|WT,10:00:00 AM,"Building: Wharehouse Used As Community Shops: Ceiling, Walls, Doors And Floor Severe By Fire, Heat, Smoke And Water. Contents: Entire Contents Consisting Of Shopfittings, Clothing Stores, Etc. Severe By Fire, Heat, Smoke And Water.",,,Metal Shutter Doors On Eastern Side And Southern Interior Entrance Compromised Using Carborandum Cutters To Gain Entry,,,,,,,,,,,,,,,North,Milnerton|Brooklyn|Epping|Goodwood|Wynberg|Bellville|Belhar|Melkbos|Roeland Street|Guguletu,Category 3|Commercial (Moderate Risk),3,Danger|Restricted|Safe,Level 2,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1538471986
F1607/0043,Commercial,Department Stores,1607,07/01/2016,23:39|23:43|23:43|23:43,"13|Direct 107""|Direct ""107"" call|D""",Smoke Issuing,Freddie Hirsch,,. AVE . 11TH ELEVENTH AVENUE,KENSINGTON,CAPE TOWN,84(14TH EDITION),BZ/34,,,,F=EPG,00:30|00:01|00:15|00:28,False Alarm - Good Intent,N/A,,,,,False Alarm,,Nil,,,False Alarm Electrical.,,,,,,,,,,,,,,,,,,,,,,,North,Epping|Goodwood|Roeland Street,Category 1|No Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1607/0070,Commercial,Other,1607,07/02/2016,08:14|08:15|08:15|08:15,11|Telephone direct|Telephone|T,Building Alight,,,EMMS DRIVE,NYANGA,CAPE TOWN,124(14TH EDITION),CK/43,,Lansdowne,,"F=GTU,MPN",00:16|-425192:-18|00:17|00:14,False Alarm - Good Intent,N/A,,,,,False Alarm,,Nil,,N/A,Brazier Fire Being Mistaken For Building Fire.,,,,,,,,,,,,,,,,,,,,,,,East,Mitchells Plain|Lansdowne,Category 1|No Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1607/0246,Commercial,Department Stores,1607,07/04/2016,20:31|20:33|20:33|20:33,11|Telephone direct|Telephone|T,Smoke Issuing,Abdurahman Butchery,,KASSELSVLEI RD,BELLVILLE,TYGERBERG,40,BZ/49,,,,F=BHR,00:29|00:16|00:44,Fire - automatically extinguished,Residential|Flats,Fine,Light Breeze,10 - 15 Deg,Mattress And Electrical Wires,Minor Structural Fire,Extinghuised By Occupance With Buckets Of Water,Ensuring Area Is Safe,T.I.C And Ceiling Hook,Electrical Faults,Electrical Overload On Extention Lead Setting Mattress Alight,,,,,1.Ceiling In Hallway +/- 5x.9m Damaged By Fire 2.1xmattress Destroyed By Fire. 3. 1x Inside Door Destroyed By Fire. 4. 1xoutside Door Damaged By Fire,,,No,,,,,,,,,,,,,,,North,Bellville|Kuilsrivier|Milnerton,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1530913357
F1607/0252,Commercial,Department Stores,1607,07/04/2016,22:35|22:36|22:36|22:36,11|Telephone direct|Telephone|T,Smoke Issuing,PROMENADE MALL,,AZ BERMAN DRIVE,PORTLANDS,MITCHELLS PLAIN,144 (14TH Edition),CP/46/47,,MORGENSTER,,F=MPN,01:08|01:14|01:11|01:09,False Alarm - Good Intent,Commercial|Shops,,,,,,,,,,"False Alarm With Good Intent Due To Smokelog Alarm Being Activated, Emiiting Smoke And Mistaken For Building Alight",,,,,,,,,,,,,,,,,,,,,,,East,Khayelitsha|Ottery|Epping,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1607/0436,Commercial,Shop,1607,07/09/2016,02:33|02:34|02:34|02:34,11|Telephone direct|Telephone|T,Black Smoke Issuing,,,VICTORIA ROAD,GRASSY PARK,SOUTH PENINSULA,141 (16TH ED),CQ CR /32 33,,2ND AVE,,F=OTY,02:32|02:06|01:32|01:59|01:59,Fire - manually extinguished,Commercial|Shops,Fine,Light Breeze,0 - 10 Deg,"Fridges, Other Furniture And Stock Such As Cigarettes, Etc.",Average Structural Fire,,Used One Jet And One Fog Jet From E11 And E55a,"6x65, 2x45mm Hose, 1xawg Branch And One Hose Reel",Open Flames,"Suspected Electrical Short Circuit, Ignitinginsulation And Setting Fridge Alight",12500,,MP|SH|WT,01:30:00 AM,"Building:doors, Floor, Walls, Windows And Ceiling Severed By Fire, Heat, Smoke And Water. Contents:stock, Consisting Of Fridges, Shelves, Food, Cigarettes, Etc Severed By Fire, Heat, Smoke And Water",,,,,,,Male,,,,,,,,,,,West,Ottery|Wynberg|Lakeside,Category 2|Commercial (Low Risk),,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,C~0|C~0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1535358886
F1607/0660,Commercial,Restaurant/Cafe,1607,07/13/2016,03:27|03:28|03:28|03:28,"13|Direct 107""|Direct ""107"" call|D""",Building Alight,"7,",,HANS ASCHENBORN ROAD,NEW WOODLANDS,MITCHELL'S PLAIN,144(14TH EDITION),CO/44,,,WARD 88 ( SC 23 ),F=MPN,00:36|00:16|00:21|00:19,Fire - manually extinguished,Commercial|Shops,Fine,Light Breeze,0 - 10 Deg,"Gutter, Fascia Board",Minor Structural Fire,Extinguished By Homeowner With Sand And Buckets Of Water Before Arrival Of Brigade,Ensured Area Safe,Torch,Arson,Petrol Bombing Using 2l Plastic Bottle,,,,,"Front Gutter And Downpipe Severe By Heat, Fascia Board And Door Slight By Heat, Smoke And Water",,,,,,,,,,,,,,1,,,,East,Mitchells Plain|Guguletu|Roeland Street,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1531629038
F1607/0772,Commercial,Restaurant/Cafe,1607,07/15/2016,13:43|13:46|13:46|13:46,11|Telephone direct|Telephone|T,Restaurant Alight,,,PARK AVENUE,WESTRIDGE,MITCHELL'S PLAIN,144(14TH EDITION),CQ/44-CR/44-CS/45,,,,F=MPN,01:32|00:29|00:01|02:15|-425495:-51|00:06|01:29|00:20,Fire - manually extinguished,Commercial|Restaurants & Cafes,Overcast,Light Breeze,15 - 20 Deg,"Chip Fryer, Till, Fridges, Serving Counters, Consumables, Etc",Average Structural Fire,,Extinguished With 2 Jet From E34 (36120),"2 X 45mm Hose, 2 X 65mm Hose, 2 X Akron Branch, 4 X Scba Sets, 1 X Short Extension Ladder, 1 X Standpipe And Keys, 1 X Thermal Image Camera, 1 X Ceiling Hook.",Cooking,Chip Fryer Left Unattended And Igniting,36120,,MP|SH,12:30:00 AM,"Entire Building Including Roof And Contents Consisting Of Fryer, Fridges, Till, Consumables Etc Severe By Fire, Heat, Smoke And Water",,,An Employee Broke Glass Of Front Door To Shop To Try And Extinguish Fire With Extinguisher,,,,,,,,,,,1,1,,,East,Mitchells Plain|Guguletu|Macassar|Bellville|Lakeside,Category 3|Commercial (Moderate Risk),,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1538736767
F1607/0777,Commercial,Shop,1607,07/15/2016,16:46|16:47|16:47|16:47,11|Telephone direct|Telephone|T,Smoke Issuing From Shop,Cash Crusaders,,CECIL ROAD,PLUMSTEAD,SOUTH PENINSULA,120(14TH EDITION),CN/29,,,,F=WBG,00:26|00:24|00:26,False Alarm - Good Intent,Commercial|Shops,,,,,False Alarm,,Nil,,,False Alarm With Good Intent,,,,,,,,,,,,,,,,,,,1,,,,West,Wynberg|Ottery|Lakeside,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1607/0818,Commercial,Other,1607,07/16/2016,10:55|10:56|10:56|10:56,11|Telephone direct|Telephone|T,Smoke From Second Floor,"Nr.245,",,VOORTREKKER ROAD,MAITLAND,BLAAUWBERG,83/84(14TH EDITION),CA/30-32,,,,F=BKN,00:02|00:02|00:02,False Alarm - Good Intent,N/A,,,,,False Alarm,,Nil,,N/A,False Alarm With Good Intent Due To Being Stood Down By Control,,,,,,,,,,,,,,,,,,,,,,,North,Brooklyn|Salt River,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1607/0826,Commercial,Offices,1607,07/16/2016,13:18|13:20|13:20|13:20,11|Telephone direct|Telephone|T,Smoke Isuing From Roof,Mid-Offices,,MERWE STREET,OTTERY,SOUTH PENINSULA,73,,,Enslin Street,,F=OTY,00:14|00:16|00:17|00:10,False Alarm - Good Intent,Commercial|Offices,,,,,False Alarm,,Service Not Required,,Smoking,False Alarm Good Intent,,,,,,,,,,,,,,,,,,,,,,,West,Ottery|Wynberg|Roeland Street|Lakeside,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1532770024
F1607/0961,Commercial,Restaurant/Cafe,1607,07/18/2016,21:18|21:20|21:20|21:20,"13|Direct 107""|Direct ""107"" call|D""",Smoke Issuing From Kitchen - Restaurant Is Closed,Bread Milk And Honey,,SPIN STREET,CENTRAL,CAPE TOWN,34,CB/23,,,,F=RDS,00:21|00:28|00:19|00:26,Fire - manually extinguished,Commercial|Restaurants & Cafes,Fine,Nil,15 - 20 Deg,Pot Of Food On Stove,Minor Structural Fire,Extinguished By Owner By Removing To Open.,,,Cooking,Pot Of Food On Stove Left Switched On Overheating And Igniting.,,,,,"Building: Nil|Contents: 1 Pot Of Food Severe By Fire, Heat And Smoke.",,,,,,,,,,,,,,1,,,,West,Roeland Street|Salt River|Ottery,Category 1|No Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1537022023
F1607/0968,Commercial,Restaurant/Cafe,1607,07/19/2016,05:23|05:25|05:25|05:25,"13|Direct 107""|Direct ""107"" call|D""",Shop Alight,,,KLIP ROAD,LOTUS RIVER,SOUTH PENINSULA,88,,,BUCK,,F=OTY,00:38|00:27|00:35,Fire - manually extinguished,Commercial|Restaurants & Cafes,Raining,Light Breeze,10 - 15 Deg,Rubbish,Rubbish Fire,Residents Used Internal Hose Reel To Partly Extinguish Fire,Used One Fog Jet From E11 For 15 Minutes,One Hose Reel,Open Flames,Passerby Dropped A Light,1800,,MP,12:15:00 AM,"Building:small Storage Space Under Stairway Damaged By Fire, Heat, Smoke And Water",,,,,,,,,,,,,,1,1,,,West,Ottery|Wynberg|Lakeside,Category 2|Commercial (Low Risk),,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1538737050
