,,,,,,,,,,,,,,,,,,,,,,,,,
"*** Query Name:Query 1 ***

    Start Date : 10/1/2016 12:00:00 AM
    End Date : 12/31/2016 12:00:00 AM",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Service_Request,Service Request - Category,Service Request - Sub Category,Created At,Street No,Street,Suburb,FPA - FPA classification:,FPA- FPA Occupancy,Temperature,Wind,Weather,Action Prior to Arrival,Equipment Used,Water Source - Source Of Water,Water Source - Water Used,Water Source - Water Used Charged,Water Source - Water Used Un(Quantity),Property Damage - Fire Damage Details Building,Property Damage - Fire Damage Content,Property Damage - Fire Damage Build Vehicle,Premises Details - No Of Floors,No of Units,Premises Details - Owner,Premises Details - Occupier Driver,Responsible Entity - District
30002593,RESIDENTIAL FIRE,RESIDENTIAL FIRE - FORMAL,10/1/2016 12:07:09 AM,,VICTORIA ROAD,WINDSOR ESTATE,False Alarm - Good Intent,,,,,false alarm due to braai mistaken for house alight,,,,,,,,,,,,,North
30002594,MOTOR VEHICLE ACCIDENT,PEDESTRIAN VEHICLE ACCIDENT (PVA ),10/1/2016 12:21:19 AM,,DA GAMA STREET,BROOKLYN,Special Service - False Good Intent,,,,,,,,,,,,,,,,,,North
30002595,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),10/1/2016 1:12:44 AM,first avenue,KOMMETJIE MAIN ROAD,FISH HOEK,Special Service,,,,,,,,,,,,,,,,,,West
30002596,RESIDENTIAL FIRE,RESIDENTIAL FIRE - FORMAL,10/1/2016 1:50:00 AM,,EVAN ROAD,KENRIDGE - BELLVILLE,Fire manually extinguished,,20 - 25 Deg,,Fine,OWNERS TRY TO EXT FIRE USING GARDEN HOSE,25 - 30 min,,,0,,,"50,000","100,000",,,A HART,,North
30002597,TRANSPORT FIRE,"TRANSPORT FIRE - CARS, MOTORCYCLE",10/1/2016 4:15:44 AM,,,,Fire manually extinguished,,,,,,10 - 15 min,,625Kpa 13mm Nozzle,0,,,0,"10,000",,,,,North
30002598,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",10/1/2016 5:48:59 AM,,POPLAR ROAD,FISH HOEK,False Alarm - Good Intent,,,,,,,,,,,,,,,,,,West
30002599,MOTOR VEHICLE ACCIDENT,PEDESTRIAN VEHICLE ACCIDENT (PVA ),10/1/2016 6:24:54 AM,,STRAND STREET,CAPE TOWN CITY CENTRE,Special Service,,,,,,,,,,,,,,,,,,West
30002600,TRAUMA EMERGENCY - ACCIDENTAL INJURY,TRAUMA - ACCIDENTAL INJURY - DOMESTIC,10/1/2016 7:59:08 AM,,HOUT BAY MAIN ROAD,HOUT BAY,,,,,,,,,,,,,,,,,,,
30002601,MOTOR VEHICLE ACCIDENT,PEDESTRIAN VEHICLE ACCIDENT (PVA ),10/1/2016 10:06:49 AM,,SETTLERS DRIVE,HEIDEVELD,,,,,,,,,,,,,,,,,,,
30002606,TRAUMA EMERGENCY - ASSAULT,TRAUMA - ASSAULT - WEAPON (OTHER),10/1/2016 12:03:02 AM,,\,MILNERTON,Special Service,,,,,One adult female assaulted brought into station with private transport.,,,,,,,0,0,,,,,North
30002607,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",10/1/2016 12:10:14 AM,,GODFREY ROAD,KALK BAY,False Alarm - Good Intent,,,,,,,,,,,,,,,,,,West
30002608,STREET PEOPLE / VAGRANT,SLEEPING - SQUATTING - CAMPING - STRUCTURE,10/1/2016 12:12:14 AM,,GODFREY ROAD,KALK BAY,,,,,,,,,,,,,,,,,,,
30002609,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),10/1/2016 12:42:07 AM,,,,Special Service,,,,,One motor vehicle collided into side of mountain. No persons trapped nor injured.,,,,,,,,,,,,,West
30002610,RESIDENTIAL FIRE,RESIDENTIAL FIRE - FORMAL,10/1/2016 12:51:00 AM,,KWANELE STREET,MXOLISI PHETANI,False Alarm - Good Intent,,,,,,,,,,,,,,,,,,East
